@relation 'spoken_letters_617_attributes-weka.filters.unsupervised.attribute.Remove-V-R1,11,14,17,22,30,41,45,48,52,68,70,101,106,107,118,132,138,144,148,165,169,171,172,173,174,181,182,184,189,199,201,204,212,213,225,228,231,234,235,238,254,257,259,261,297,298,321,322,323,326,330,337,345,351,354,358,359,363,386,390,392,395,397,411,414,415,416,418,420,422,427,429,430,431,433,436,438,439,451,453,455,458,460,461,462,473,474,480,481,488,489,494,515,516,520,525,541,547,548,553,554,557,573,574,575,578,579,580,581,582,583,584,618'

@attribute f1 numeric
@attribute f11 numeric
@attribute f14 numeric
@attribute f17 numeric
@attribute f22 numeric
@attribute f30 numeric
@attribute f41 numeric
@attribute f45 numeric
@attribute f48 numeric
@attribute f52 numeric
@attribute f68 numeric
@attribute f70 numeric
@attribute f101 numeric
@attribute f106 numeric
@attribute f107 numeric
@attribute f118 numeric
@attribute f132 numeric
@attribute f138 numeric
@attribute f144 numeric
@attribute f148 numeric
@attribute f165 numeric
@attribute f169 numeric
@attribute f171 numeric
@attribute f172 numeric
@attribute f173 numeric
@attribute f174 numeric
@attribute f181 numeric
@attribute f182 numeric
@attribute f184 numeric
@attribute f189 numeric
@attribute f199 numeric
@attribute f201 numeric
@attribute f204 numeric
@attribute f212 numeric
@attribute f213 numeric
@attribute f225 numeric
@attribute f228 numeric
@attribute f231 numeric
@attribute f234 numeric
@attribute f235 numeric
@attribute f238 numeric
@attribute f254 numeric
@attribute f257 numeric
@attribute f259 numeric
@attribute f261 numeric
@attribute f297 numeric
@attribute f298 numeric
@attribute f321 numeric
@attribute f322 numeric
@attribute f323 numeric
@attribute f326 numeric
@attribute f330 numeric
@attribute f337 numeric
@attribute f345 numeric
@attribute f351 numeric
@attribute f354 numeric
@attribute f358 numeric
@attribute f359 numeric
@attribute f363 numeric
@attribute f386 numeric
@attribute f390 numeric
@attribute f392 numeric
@attribute f395 numeric
@attribute f397 numeric
@attribute f411 numeric
@attribute f414 numeric
@attribute f415 numeric
@attribute f416 numeric
@attribute f418 numeric
@attribute f420 numeric
@attribute f422 numeric
@attribute f427 numeric
@attribute f429 numeric
@attribute f430 numeric
@attribute f431 numeric
@attribute f433 numeric
@attribute f436 numeric
@attribute f438 numeric
@attribute f439 numeric
@attribute f451 numeric
@attribute f453 numeric
@attribute f455 numeric
@attribute f458 numeric
@attribute f460 numeric
@attribute f461 numeric
@attribute f462 numeric
@attribute f473 numeric
@attribute f474 numeric
@attribute f480 numeric
@attribute f481 numeric
@attribute f488 numeric
@attribute f489 numeric
@attribute f494 numeric
@attribute f515 numeric
@attribute f516 numeric
@attribute f520 numeric
@attribute f525 numeric
@attribute f541 numeric
@attribute f547 numeric
@attribute f548 numeric
@attribute f553 numeric
@attribute f554 numeric
@attribute f557 numeric
@attribute f573 numeric
@attribute f574 numeric
@attribute f575 numeric
@attribute f578 numeric
@attribute f579 numeric
@attribute f580 numeric
@attribute f581 numeric
@attribute f582 numeric
@attribute f583 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26}

@data

-0.208,0.096,0.312,0.72,0.62,0.732,0.2834,0.1538,0.3806,0.66,0.5578,0.737,0.8568,0.029,-0.0832,0.973,0.6554,-0.2064,-0.034,0.515,0.5846,-0.2776,-0.5304,-0.5666,-0.377,-0.4988,0.3274,0.8826,0.7562,0.8872,-0.5172,-0.8436,-0.5908,0.016,0.1678,-0.3024,0.628,1,0.3024,0.2094,0.2558,0.3954,-0.091,0.3818,0.9272,-0.1892,-0.2972,-1,-1,-1,-1,-0.9032,0.3526,-0.9594,-1,-1,-1,-1,-0.423,-1,-1,-1,-0.9268,-0.3368,-0.5934,-0.8,-1,-1,-1,-1,-1,-0.8572,1,1,1,-0.9714,-0.7142,-0.6,-0.4,-1,1,1,1,1,1,0.81,-0.6134,-0.1176,0.9834,-0.6,0.6,0.8304,1,0.6216,0.7298,0.4054,0.7838,-0.1756,0.5852,0.734,0.7554,0.8298,0.734,-0.2872,-0.1914,-0.1064,-1,-1,1,-1,-1,-0.8,-0.6334,1
-0.2864,0.3984,0.5186,0.8796,0.6598,0.668,0.502,0.3644,0.7368,0.7368,0.366,0.7788,0.817,0.2842,0.177,0.8688,0.5642,0.109,0.3074,1,0.6292,-0.0208,-0.3292,-0.2542,-0.2916,-0.25,0.8084,1,0.7542,0.9542,0.069,-0.3152,-0.33,0.399,0.5666,-0.4666,0.3334,0.9556,0.4666,0.3334,0.5112,0.7778,-0.375,0.125,0.5834,0.1578,0.0106,-1,-1,-1,-1,-0.9712,0.4862,-0.94,-1,-1,-1,-1,-0.9826,-1,-1,-1,-0.86,-0.5868,-0.5312,-0.5378,-0.4278,-1,-1,-1,-1,-1,1,1,1,-0.9142,-0.8,-0.1714,-0.2,-1,1,1,1,1,1,1,-0.6266,-0.247,1,0.027,0.7702,0.9054,1,0.5284,0.868,0.5472,0.8868,0.1698,0.459,0.6066,0.5738,0.9016,1,-0.0328,-0.2132,-0.5738,-1,-1,1,-1,-1,-1,-0.7666,1
-0.2348,-0.6528,-0.6334,-0.2154,0.9614,0.8906,-0.6312,-0.9664,-0.2738,-0.028,0.5672,-0.1874,-0.016,-0.6596,-0.734,0.0798,0.7408,-0.6564,-0.5492,-0.155,0.1842,-0.583,-0.71,-0.6194,-0.6314,-0.6194,-0.0756,0.1662,0.6072,0.8912,-0.3882,-0.7106,-0.6908,-0.3224,0,-0.0286,0.7714,-0.0858,-0.4286,-0.7142,-0.4858,0.8858,-0.1154,0.6538,0.077,-0.5682,-0.7272,-1,-1,-1,-1,-0.9524,0.698,-0.9358,-1,-1,-1,-1,-0.9292,-1,-1,-1,-0.9468,-0.8368,-0.7868,-1,-1,-1,-1,-1,-1,-1,0.6286,1,1,-0.8,-1,-0.9428,-0.4,-1,-0.0802,-0.1332,-0.1172,-0.0908,-0.0534,-0.095,-0.64,-0.3648,0.2416,0.2,1,0.6572,0.9428,0.65,0.25,1,0.925,0.425,0.8604,0.2558,0.2094,0.7442,0.814,-0.2558,-0.372,-0.186,-1,-1,1,-1,-1,-0.8,-0.8334,2
-0.1856,-0.3652,-0.3174,0.006,1,0.6288,-0.2314,-0.6574,-0.4398,0.3658,0.8108,0.1356,0.3046,-0.6498,-0.67,0.8224,0.9668,-0.6178,-0.4072,0.1578,0.5904,-0.6338,-0.8844,-0.6916,-0.7446,-0.5566,-0.041,0.2578,0.8072,0.7734,0.0216,-0.356,-0.4798,-0.3004,0.1456,0.0384,0.6924,0.1538,0.1538,0.0384,0.1538,0.5384,-0.0698,0.907,0.1628,-0.409,-0.7272,-1,-1,-1,-1,-0.969,0.6814,-0.952,-1,-1,-1,-1,-0.9494,-1,-1,-1,-0.864,-0.814,-0.6068,-0.7468,-1,-1,-1,-1,-1,-1,1,1,1,-0.8858,-0.8286,-0.4858,-0.1714,-1,0.2496,0.2466,0.2506,0.247,0.2282,0.17,-0.6666,-0.3058,0.8084,0.2778,1,0.7778,0.6666,0.7662,0.2728,0.7922,0.7142,-0.013,0.6808,0.0638,0.5106,0.9574,0.9148,-0.0638,-0.1276,-0.0638,-1,-1,1,-1,-1,-0.8,-0.8334,2
-0.1814,-0.1918,0.0156,0.171,0.8082,0.658,-0.256,-0.256,-0.2368,0.5024,0.936,-0.1142,0.102,-0.6372,-0.6554,0.2562,0.9744,-0.7648,-0.335,0.0026,0.3294,-0.1312,-0.7726,-0.9242,-0.8192,-0.8658,-0.137,-0.032,0.4518,0.6152,-0.0314,-0.4634,-0.554,0.1358,0.1498,-0.1428,0.9428,0.2572,-0.2,-0.1428,0.0286,0.4286,-0.2728,0.7728,0.7272,-0.098,-0.5294,-0.9842,-0.9842,-0.9848,-0.9842,-0.9646,0.239,-1,-1,-0.8798,-0.7608,-0.749,-0.6912,-1,0.9966,1,0.9866,-0.56,-1,-1,-1,-1,-1,0.4572,-0.6572,-0.7714,1,1,1,-0.8286,-0.4,0.1428,0.2286,-1,0.3914,0.381,0.3686,0.3638,0.2672,0.171,-0.6134,-0.3176,-0.025,-0.3798,0.2018,0.4228,0.4098,-0.263,-0.2096,0.0404,0.3482,0.9768,-0.3034,-0.32,0.2594,0.3452,0.3828,0.7846,0.8954,0.7804,-1,1,-1,-0.6,-1,-1,1,3
-0.3212,-0.3334,-0.4,0.2546,0.3636,0.3758,-0.1122,-0.3102,-0.032,0.984,0.8412,-0.0046,0.3892,-0.5664,-0.5384,0.9254,0.7572,-0.519,-0.7048,0.338,0.6044,-0.4946,-0.6264,-0.6704,-0.588,-0.7472,0.2142,0.599,0.8076,0.401,-0.137,-0.2328,-0.3972,0.3836,0.3972,0,0.5416,0.5,0.375,0.2916,0.4166,0.4166,-0.1162,0.5814,0.721,-0.3412,-0.4824,-0.9412,-0.956,-0.954,-0.9632,-0.943,0.673,-0.9376,-1,-0.8572,-0.5198,-0.6454,-0.2758,-1,1,1,1,0.6432,-0.7468,-1,-1,-1,-1,1,0.0572,-0.7714,0.8858,1,1,-0.8,-1,-0.7714,-0.3142,-1,0.2158,0.2728,0.317,0.2918,0.261,0.151,-0.68,-0.3176,-0.25,-0.5368,0.1668,0.2756,0.5576,-0.4318,-0.0988,-0.031,0.221,0.7968,-0.448,-0.2106,0.1158,0.088,0.2998,0.7962,0.6142,0.365,-1,1,-1,-1,-1,-1,1,3
-0.1312,-0.5656,-0.4654,-0.2744,0.833,0.7804,-0.463,-0.7168,-0.4546,-0.0022,0.6232,-0.1512,0.1738,-0.7118,-0.6568,0.4194,0.583,-0.7288,-0.6032,-0.1782,0.44,-0.505,-0.725,-0.58,-0.69,-0.535,-0.11,0.08,0.75,0.87,-0.1254,-0.1254,-0.5884,0.029,0.2604,0.149,0.8724,0.1064,-0.4894,-0.2766,-0.234,0.617,-0.15,0.6,0.4,-0.451,-0.5882,-1,-1,-1,-1,-0.705,0.5586,-0.9464,-1,-1,-1,-1,-0.2994,-1,-1,-1,-0.6534,1,-0.9034,-1,-1,-1,-1,-1,-1,0.5428,1,1,1,-0.8,-0.9714,-0.2,0.1142,-1,0.0136,0.0602,0.132,0.1382,0.1568,0.0786,-0.68,-0.2118,1,-0.726,0.0958,-0.041,0.315,-0.5074,-0.2538,0.0298,0.418,0.8656,-0.3228,-0.2486,0.238,0.3122,0.4074,0.6826,0.3544,0.619,-1,-1,1,-1,-1,-1,-0.6666,4
0.009,-0.7492,-0.618,-0.3314,1,0.5462,-0.613,-0.7766,-0.6824,-0.1116,0.771,-0.2824,0.0266,-0.8988,-0.8506,0.3542,0.7538,-0.799,-0.6834,-0.3216,0.2786,-0.671,-0.9046,-0.9152,-0.9894,-0.9628,-0.0186,0.1406,0.6816,0.9204,-0.4126,-0.3254,-0.5714,0.1746,0.4762,-0.1052,0,0.1052,-0.1578,-0.1578,-0.421,0.579,0.3878,0.8368,0.7142,-0.6,-0.575,-1,-1,-1,-1,-0.8274,0.9394,-0.9522,-1,-1,-1,-1,-0.4016,-1,-1,-1,-0.9734,0.5466,-0.8468,-1,-1,-1,-1,-1,-1,-0.6572,1,1,1,-0.8572,-1,-0.8286,-0.3428,-1,-0.1478,-0.137,-0.1328,-0.148,-0.155,-0.1646,-0.6266,-0.1882,1,-0.5538,0.4308,0.3384,0.6462,-0.0476,-0.17,-0.0884,0.347,0.8776,-0.315,-0.1602,0.0498,0.5028,0.337,0.6686,0.4806,0.4918,-1,-1,1,-0.6,-1,-1,-0.6666,4
-0.4392,-0.727,-0.3896,-0.3946,0.0968,0.8412,-0.4862,-0.574,-0.463,-0.0926,0.352,-0.136,0.0352,-0.696,-0.7092,0.1718,0.6716,-0.897,-0.5,-0.0932,0.441,-0.5272,-0.6,-0.5182,-0.5228,-0.591,0.0272,0.2454,0.941,0.8228,0.1546,-0.0276,-0.3646,0.1768,0.315,-0.28,0.76,-0.08,-0.08,-0.08,0.04,0.8,-0.3778,0.8666,0.0666,-0.4736,-0.5368,-1,-1,-1,-1,-0.9552,0.412,-0.939,-1,-1,-1,-1,-0.9422,-1,-1,-1,-0.9468,-0.6234,-0.7334,-1,-1,-1,-1,-1,-1,-1,0.8572,1,1,-0.9428,-1,-0.8572,-0.6572,-1,-0.2486,-0.168,-0.0994,0.005,0.0784,0.1264,-0.6666,-0.2706,-0.0166,-0.32,0.04,0.12,0.8,0.0188,-0.2452,0.0188,0.9622,0,0.4128,0.2478,0.1744,0.0092,0.9082,-0.101,0.1744,0.156,-1,-1,1,-1,-1,-1,-0.8334,5
