@relation 'spoken_letters_5attributes_5letters_test'

@attribute f427 numeric
@attribute f460 numeric
@attribute f474 numeric
@attribute f515 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5}

@data

-0.8572,1,-0.1176,0.6216,-0.6334,1
-1,1,-0.247,0.5284,-0.7666,1
-1,-0.0908,-0.3648,0.65,-0.8334,2
-1,0.247,-0.3058,0.7662,-0.8334,2
-0.7714,0.3638,-0.3176,-0.263,1,3
-0.7714,0.2918,-0.3176,-0.4318,1,3
0.5428,0.1382,-0.2118,-0.5074,-0.6666,4
-0.6572,-0.148,-0.1882,-0.0476,-0.6666,4
-1,0.005,-0.2706,0.0188,-0.8334,5
-0.7142,0.0362,-0.2706,-0.0232,-0.8334,5
0.0286,1,0.447,0.469,-0.4334,1
-0.0858,1,0.8236,0.3688,-1,1
-1,0.096,0.2824,0.0802,-1,2
-1,-0.0304,0.5294,0.3572,-1,2
-1,0.2186,0.2824,-0.3152,1,3
-0.9428,0.2258,0.4118,-0.322,1,3
-0.9428,-0.0436,0.3882,-0.6136,-0.6,4
-0.9714,0.0106,0.3882,-0.4478,-0.6334,4
-0.8572,-0.3594,0.4942,-0.168,-0.6666,5
-0.9714,-0.2312,0.5882,-0.1142,-0.7666,5
-1,0.9532,0.047,0.814,-0.8,1
-1,1,0.2352,0.47,-0.8334,1
-1,0.082,-0.0824,1,-1,2
-1,0.0598,0.1176,0.3484,-1,2
-0.8,0.4984,-0.0118,-0.3214,1,3
-0.9428,0.4778,-0.2118,-0.264,1,3
-0.3714,0.113,0.047,0.1286,-0.7,4
-0.6,0.2472,-0.0352,0.055,-0.7666,4
-1,0.2426,-0.0706,0.2,-0.8,5
-1,0.2928,0.153,0.3024,-0.8334,5
-0.2,0.9834,0.3294,0.5828,-1,1
-0.6572,0.8668,0.5412,0.1852,-0.7666,1
-1,-0.0988,0.2,0.3836,-1,2
-0.9428,-0.14,0.5412,0.1958,-0.8334,2
-0.8858,0.338,0.3412,-0.5066,1,3
-0.9714,0.429,-0.0706,-0.4802,1,3
-0.7142,0.0496,0.4118,-0.1518,-0.7,4
0.0572,-0.0586,0.2706,0.137,-0.7334,4
-1,0.0588,0.0942,0.2448,-0.8334,5
-1,0.078,0.153,0.1702,-1,5
-1,0.7556,-0.1058,0.9432,-1,1
-1,0.8904,-0.0352,0.5142,-0.7666,1
-1,-0.2244,-0.247,0.0476,-0.8334,2
-1,-0.3936,-0.1648,0.4546,-1,2
-0.8286,-0.0774,-0.2824,-0.4778,1,3
-0.9714,-0.0286,-0.353,-0.3386,1,3
-0.6858,-0.5602,-0.3764,0.0694,-0.6666,4
-0.2,-0.487,-0.2,0.0948,-0.7334,4
-0.8858,-0.454,-0.247,-0.1428,-0.7666,5
-0.1428,-0.5394,-0.1412,0.5152,-0.8,5
-0.8286,1,0.4236,0.6402,-0.6334,1
-0.8858,0.9254,0.2942,0.7486,-0.5666,1
-1,-0.369,0.1764,0.469,-0.8,2
-1,-0.2524,0.4824,-0.0516,-1,2
-0.7714,-0.0062,0.0706,-0.6824,1,3
-0.8572,-0.127,0.2588,-0.7058,1,3
-1,-0.1432,0.0706,0.2322,-0.8,4
-0.7428,-0.3514,-0.2706,-0.2104,-0.5666,4
-0.8858,-0.5114,0.0942,0.2908,-0.6666,5
-1,-0.5028,0.0706,0.4308,-0.8334,5
-1,0.9622,0.3058,0.2992,-0.7666,1
1,0.9828,0.3412,1,-0.3334,1
-1,-0.0764,0.2942,0.1822,-1,2
-1,-0.5808,0.2,0.4826,-1,2
-0.8,0.2296,-0.153,-0.4784,1,3
-0.8572,-0.0216,-0.0942,-0.497,1,3
-0.7714,-0.0874,0.3764,-0.0556,-0.6334,4
-0.2572,-0.5992,0.2706,-0.336,-0.5334,4
-1,-0.5852,0.447,0.5938,-1,5
0.4572,-0.7136,0.2706,-0.1778,-0.7666,5
-0.3142,1,0.0942,-0.1354,-1,1
-0.7142,1,0.1058,0.2676,-0.8,1
-0.9428,-0.0476,0.0706,0.2632,-0.8334,2
-1,0.1256,-0.0942,0.0602,-0.8334,2
-0.8572,0.5824,-0.0706,-0.6452,1,3
-0.9714,0.5988,-0.0706,-0.5152,1,3
-0.7428,0.055,-0.0118,-0.5598,-0.7,4
-0.9714,-0.0092,0.1294,-0.534,-0.6334,4
-0.3714,-0.128,0.1058,-0.07,-1,5
-0.9428,-0.092,0.0118,0.1418,-1,5
-1,0.9448,0.1412,0.1328,-0.8,1
-0.6286,1,-0.2824,0.458,-0.8334,1
-1,0.2126,-0.2,0.08,-0.8334,2
-1,-0.1468,-0.3412,0.5304,-1,2
-1,0.3134,-0.2588,-0.2136,1,3
-0.9142,0.1518,-0.3412,-0.4114,1,3
0.3714,0.1506,-0.2,-0.0878,-0.7666,4
-0.4858,0.0476,-0.2352,-0.4226,-0.7334,4
-1,0.1724,-0.2118,0.3388,-0.8334,5
-1,-0.1756,-0.2588,0.2968,-0.7666,5
-0.1142,1,0.2118,0.7188,-0.7334,1
0,1,0.2942,0.0702,-0.3666,1
-1,0.0636,0.0824,0.2326,-0.8334,2
-1,0.0748,-0.0118,0.0256,-0.8334,2
-0.8,0.4424,0.2,-0.5062,1,3
-0.9142,0.3872,0.1176,-0.4714,1,3
-0.9428,-0.0642,0.2706,-0.34,-0.6334,4
-1,0.0466,0.2824,-0.0566,-0.8334,4
-1,0.1746,0.2824,-0.3334,-0.8,5
-0.2,0.2248,0.1764,-0.125,-0.7,5
-1,1,0.0118,0.6112,-0.8334,1
-0.8,1,0.1294,0.4392,-0.8,1
-1,0.1098,-0.2824,0.3256,-0.8334,2
-1,0.0582,0.0236,0.5116,-0.8334,2
-0.8572,0.4156,-0.2118,-0.146,1,3
-0.8858,0.402,-0.1176,-0.3296,1,3
-0.9714,0.065,-0.0118,-0.192,-0.6334,4
-1,-0.1906,0.0118,-0.2814,-0.6,4
-1,0.2662,-0.0236,0.1466,-1,5
-1,0.1532,-0.0236,0.3728,-0.8334,5
-1,1,0,0.398,-0.8334,1
-1,0.9362,0,0.5646,-1,1
-1,-0.0656,-0.047,0.1456,-0.8334,2
-1,-0.4988,0.1058,0.3518,-0.8,2
-0.5714,0.2772,-0.2942,-0.3702,1,3
-0.3142,0.3042,-0.0118,-0.4276,1,3
-0.5428,-0.3412,-0.1294,-0.0232,-0.7334,4
-1,-0.4264,0.0706,0.5,-0.8,4
-1,-0.298,-0.047,-0.02,-0.8334,5
-1,-0.1376,0.1294,0.3572,-0.8334,5
-1,1,-0.1882,0.491,-0.8334,1
-1,0.9408,0.1648,0.3548,-1,1
-0.4,0.0952,-0.3294,0.48,-0.8,2
-0.9714,-0.439,-0.2236,0.4616,-0.8334,2
-0.6,0.2282,-0.153,-0.5826,1,3
-0.8858,0.22,0,-0.5686,1,3
-0.2858,0.0198,-0.1058,0.2254,-0.7,4
-1,-0.0872,-0.047,0.1636,-0.7666,4
-0.9142,-0.1872,-0.1412,-0.1844,-0.8334,5
-1,-0.0986,-0.1294,0.279,-0.8334,5
-0.6286,1,0.0706,0.2814,-0.7,1
0.2572,0.8282,0.0236,0.0628,-0.5,1
-1,-0.0546,-0.0824,0.7932,-0.8334,2
-0.7428,-0.0322,-0.0588,0.2664,-1,2
-0.8572,0.4818,-0.1294,-0.4026,1,3
-0.9142,0.2734,-0.247,-0.4778,1,3
-0.8858,-0.0548,-0.0706,-0.5058,-0.6666,4
-0.6858,-0.1858,-0.0352,-0.75,-0.7,4
-1,0.2126,-0.0118,0.341,-0.8334,5
-1,0.0922,0.153,0.494,-1,5
-1,1,0.2706,0.5408,-0.8334,1
-1,1,0.4352,0.581,-0.8334,1
-1,-0.3016,0.153,0.7564,-1,2
-0.2572,-0.222,0.1412,0.1728,-1,2
-0.8858,0.1016,0.0588,-0.4774,0.9,3
-0.9714,-0.067,0.1058,-0.4438,1,3
-1,-0.1934,0.1412,0.0496,-0.7666,4
-0.0858,-0.3932,0.2588,-0.2142,-0.7,4
-1,-0.3142,0.1648,0.4418,-0.8334,5
-0.2,-0.4408,0.2118,-0.1472,-0.7334,5
-0.8286,0.7178,0.2706,0.9716,-0.7334,1
-0.9428,0.717,0.647,1,-0.7,1
-1,-0.4042,0.3764,0.5824,-0.8,2
-1,-0.6194,0.3294,0.6852,-0.8,2
-0.9142,-0.045,0.3058,-0.5022,1,3
-0.8572,-0.0902,0.1294,-0.5152,1,3
-1,-0.5614,0.447,-0.4352,-0.6666,4
1,-0.6768,0.3648,-0.2592,-0.5,4
-1,-0.5356,0.3176,0.4942,-0.8334,5
-1,-0.855,0.4,0.6,-0.8,5
-0.8858,0.7536,0.1882,0.6316,-0.8334,1
-1,0.8272,0.3412,0.6756,-1,1
-1,-0.3408,0.3648,0.6104,-0.8334,2
-1,-0.097,0.3412,0.1048,-0.8334,2
-0.7714,0.2672,-0.3294,-0.5272,1,3
-0.8286,0.0064,-0.153,-0.5352,1,3
-0.6286,-0.1458,0.2352,-0.128,-0.7,4
-0.3142,-0.2548,0.0352,-0.2752,-0.7,4
-1,-0.4176,0.6118,0.7372,-1,5
-1,-0.5476,0.1176,0.4334,-1,5
-0.9142,1,0.4706,-0.0086,-1,1
-0.1714,0.5984,0.447,0.1122,-0.4334,1
-1,-0.0342,0.047,0.3024,-0.8334,2
-1,-0.2476,-0.2352,0.1948,-0.8,2
-0.9714,-0.0136,-0.2118,-0.4196,1,3
-0.9714,0.1444,-0.1882,-0.4456,1,3
1,-0.4536,-0.047,-0.365,-0.4334,4
-0.9714,-0.1444,0.3882,-0.0866,-0.5666,4
0.2572,-0.3696,0,-0.3334,-0.8,5
-0.2572,-0.3168,0.0118,0.3298,-1,5
-0.4858,0.7362,0.3176,-0.2084,-0.8334,1
-0.5428,0.3624,1,0.06,-0.7,1
-1,-0.778,0.447,0.194,-0.8334,2
-1,-0.6168,0.6236,0.6228,-1,2
-0.8572,-0.8132,0.2706,-0.345,1,3
-0.9142,-0.6522,0.353,-0.3648,1,3
-0.3428,-0.8442,0.3648,-0.4286,-0.7,4
-0.9142,-0.7778,0.6824,-0.505,-0.6334,4
-0.8286,-0.7218,0.6824,-0.2446,0.2,5
0.5714,-0.687,1,-0.1548,-0.3334,5
-0.8572,0.6888,0.1412,0.6224,-0.6666,1
-0.9428,0.6538,0.2118,0.1986,-1,1
-0.9714,-0.3886,-0.0588,0.0938,-0.8334,2
-1,0.0702,0.1058,0.1128,-1,2
-0.9714,0.134,-0.153,-0.3368,1,3
-0.8858,0.1262,-0.0352,-0.4418,1,3
-1,-0.231,0.3412,0.1366,-1,4
-1,-0.1756,0.5058,-0.0206,-1,4
-0.8858,-0.5304,0.0118,0.2916,-1,5
-0.8572,-0.4028,0.0352,0.0834,-0.6666,5
-1,0.7524,0.2118,0.7526,-0.8334,1
-0.8858,0.5186,0.847,0.9116,-0.5666,1
-1,-0.1598,0.1294,0.2052,-1,2
-0.9714,-0.475,0.5294,0.475,-0.8,2
-0.9428,0.184,0.0588,-0.4976,0.9334,3
-0.9142,-0.0614,0.4352,-0.2912,1,3
-1,-0.2582,0.2236,-0.38,-0.7666,4
-0.7428,-0.2868,0.4352,0.2846,-0.7,4
-0.8572,-0.3022,0.1058,0.3268,-0.6334,5
-1,-0.6674,0.9412,0.3052,-0.8334,5
-1,0.8006,-0.1764,0.3778,-0.8334,1
-1,0.7632,-0.1294,0.4538,-1,1
-1,-0.6128,-0.2236,0.162,-0.6334,2
-1,-0.4504,-0.0706,0.493,-1,2
-0.9142,-0.1164,-0.1648,-0.3282,1,3
-0.8858,-0.2432,-0.2118,-0.3942,1,3
1,-0.4878,-0.1058,-0.09,-0.4666,4
-0.9428,-0.4418,-0.1058,-0.1732,-0.5666,4
-1,-0.5482,-0.153,0.087,-0.8334,5
-0.9142,-0.6672,-0.153,-0.2054,-0.6334,5
-0.6858,1,0.2352,0.956,-0.8,1
-0.4286,0.8668,-0.1176,0.75,-0.7666,1
-1,-0.477,0.1294,-0.1398,-0.8,2
-1,-0.2316,0.1176,0.2258,-0.6666,2
-0.9142,-0.1086,-0.1176,-0.4466,1,3
-0.8858,-0.0524,-0.047,-0.5186,1,3
-0.3428,-0.605,-0.0706,-0.0798,-0.7334,4
-0.5714,-0.3924,0.0824,0.091,-0.7334,4
-1,-0.499,-0.1058,-0.0262,-0.6334,5
-0.8572,-0.3038,-0.1058,-0.2312,0.2,5
1,0.9756,-0.0706,0.1542,-0.1334,1
0.5714,0.8924,0.1412,0,-0.5334,1
-1,-0.6152,-0.0352,0.0322,-0.8334,2
-0.9428,-0.604,0.0588,0.4382,-0.8334,2
-0.7714,0.3168,-0.1412,-0.4972,1,3
-0.9142,-0.339,0.0824,-0.5046,1,3
-0.3142,-0.4624,0.153,-0.2592,-0.8334,4
-1,-0.6464,0.5764,-0.0066,-0.7,4
-1,-0.6636,0.2588,-0.4106,-0.8,5
-0.0286,-0.7056,0.4352,0.3364,-1,5
-0.4,0.6518,-0.247,0,-0.8334,1
-0.4572,0.7308,0.1764,0.482,-0.7334,1
-0.9428,-0.6564,0.2236,0.2134,-0.8334,2
-1,-0.8004,0.1648,0.3406,-0.8,2
-0.9142,-0.4602,0.0588,-0.528,1,3
-0.6286,-0.36,0.153,-0.5546,1,3
-1,-0.6526,0.2236,-0.133,-0.6666,4
-1,-0.5422,0.0588,-0.064,-0.7334,4
-1,-1,0.2942,-0.3118,-0.8,5
-1,-0.631,0.1648,-0.5294,-0.8334,5
