@relation 'spoken_letters_5attributes_5letters_training'

@attribute f427 numeric
@attribute f460 numeric
@attribute f474 numeric
@attribute f515 numeric
@attribute f584 numeric
@attribute class {1,2,3,4,5}

@data

-0.4,1,0.4942,-0.3596,0.1334,1
-0.6286,1,0.5294,0.153,-1,1
-1,-0.4374,0.5412,-0.119,-0.8334,2
-1,-0.248,0.7764,-0.033,-0.8334,2
-0.7428,-0.0368,0.2706,-0.5578,1,3
-0.7428,-0.0428,0.6,-0.76,1,3
-1,-0.5854,0.7294,-0.7604,-0.6,4
-0.9428,-0.3326,0.9764,-0.799,-0.6334,4
-0.9142,-0.4078,0.9882,-0.123,-0.7,5
-0.5428,-0.2776,0.8588,0.373,-1,5
-1,0.7646,-0.0588,0.279,-1,1
-1,0.8348,0.1648,0.6336,-0.8334,1
-0.3428,-0.3182,-0.1764,0.186,-0.7666,2
-0.5142,-0.0422,-0.0236,0.4068,-0.7,2
-0.9142,0.1668,-0.1294,-0.2784,1,3
-0.8286,0.0226,-0.153,-0.518,1,3
-0.8572,-0.2292,-0.047,0.2286,-0.7,4
-0.3142,-0.0698,0.047,-0.108,-0.7334,4
-1,-0.0906,-0.0236,0.3384,-0.8334,5
-1,-0.2276,0.1058,0.5362,-1,5
-1,1,0.8588,0.4814,-0.7666,1
-1,1,1,0.3334,-0.8334,1
-1,0.4484,0.3882,-0.0126,-0.8334,2
-1,0.2584,-0.1648,0.0256,-0.8334,2
0.0572,0.2968,0.6706,-0.3392,1,3
-0.9714,0.1778,0.0942,-0.4156,1,3
-0.7714,0.1804,0.7882,-0.4584,-0.6666,4
-0.9428,0.1436,0.6236,-0.5646,-0.7334,4
-1,0.2378,0.9764,0.0104,-0.8334,5
-0.2286,0.0004,0.7648,0.0434,-0.8334,5
-0.9142,0.999,-0.3648,0.7142,-0.8334,1
-1,1,0.0352,0.3402,-1,1
-1,-0.1454,-0.0236,0.5348,-0.8334,2
-1,-0.2322,0.1412,0.42,-0.8334,2
-0.8286,0.2226,-0.1294,-0.4716,1,3
-0.9428,0.2248,-0.1176,-0.7838,1,3
-0.9142,-0.0674,0.1412,-0.5672,-0.6666,4
-0.6858,0.101,0.047,-0.3564,-0.6334,4
-0.7142,-0.1256,-0.0352,0.36,-0.8334,5
-1,-0.085,0.2,-0.009,-0.8334,5
-1,1,0.2706,0.3608,-0.7666,1
-1,1,0.1412,0.2294,-0.8334,1
0.6572,-0.1104,0.8352,0.228,-0.6,2
-1,-0.0708,0.1176,0.1132,-0.8334,2
-0.9428,0.2926,0.2236,-0.4088,1,3
-0.7714,0.0966,-0.0118,-0.6002,1,3
-0.9428,0.1302,0.447,-0.3552,-0.7,4
-0.2,0.0258,0.1176,-0.3372,-0.7334,4
-1,0.2106,0.4,0.0364,-0.8334,5
-1,-0.0926,0.4236,0.1136,-1,5
-1,0.7702,0.2824,0.438,-1,1
-0.3142,0.6982,0.1882,0.7052,-0.7,1
-0.9714,-0.7974,-0.0588,0.3466,-0.8334,2
-1,-0.653,0.1882,0.3932,-0.8,2
-0.8,-0.6416,0.0824,-0.5076,1,3
-0.8286,-0.5466,0.0588,-0.6106,1,3
-0.1428,-0.5642,0.1882,-0.5974,-0.7,4
-0.0858,-0.776,0.447,-0.2466,-0.7334,4
-0.9142,-0.7394,0.1648,-0.1836,-0.8334,5
-1,-0.882,0.447,-0.0752,-0.8334,5
0.7714,1,0.1648,0.8682,0,1
-0.9714,1,0.1294,0.4812,-1,1
-1,0.4554,0.0706,0.2098,-0.8334,2
-0.4858,0.3878,-0.0588,0.2966,-1,2
-0.9714,0.5466,0.0118,-0.5408,0.9666,3
-0.4286,0.7016,-0.1294,-0.8096,1,3
-1,0.1096,0.1058,0.25,-0.8334,4
-0.8858,0.2228,0.1058,0.5324,-0.8334,4
